Timestamp,Nombre_Proceso,PID,Uso_RAM_MB,Usuario,Porcentaje_RAM,Firma_Digital,Nivel_Prioridad,Etiqueta
2025-06-09 07:23:53,System Idle Process,0,0.01,NT AUTHORITY\SYSTEM,0.0,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,System,4,0.15,NT AUTHORITY\SYSTEM,0.0,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,msedgewebview2.exe,52,70.1,WAYNA\alexa,0.58,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,,88,32.03,Desconocido,0.27,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,Registry,116,73.54,Desconocido,0.61,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,smss.exe,528,1.14,Desconocido,0.01,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,wininit.exe,860,6.34,Desconocido,0.05,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,csrss.exe,892,5.96,Desconocido,0.05,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,csrss.exe,976,5.21,Desconocido,0.04,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,services.exe,1028,16.7,Desconocido,0.14,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,ctfmon.exe,1044,27.61,WAYNA\alexa,0.23,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,LsaIso.exe,1064,3.64,Desconocido,0.03,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,lsass.exe,1080,28.32,Desconocido,0.24,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1196,34.12,Desconocido,0.28,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,fontdrvhost.exe,1220,2.71,Desconocido,0.02,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1308,17.35,Desconocido,0.14,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,WUDFHost.exe,1316,7.86,Desconocido,0.07,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1384,11.35,Desconocido,0.09,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,winlogon.exe,1468,11.26,Desconocido,0.09,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1480,6.17,Desconocido,0.05,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,fontdrvhost.exe,1516,11.16,Desconocido,0.09,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1580,5.02,Desconocido,0.04,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1588,9.68,Desconocido,0.08,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1652,12.31,Desconocido,0.1,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1700,14.28,Desconocido,0.12,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1704,10.73,Desconocido,0.09,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1724,10.41,Desconocido,0.09,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1732,9.45,Desconocido,0.08,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,IntelCpHDCPSvc.exe,1828,6.25,Desconocido,0.05,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1860,8.67,Desconocido,0.07,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1880,18.65,Desconocido,0.16,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1896,5.51,Desconocido,0.05,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,1916,7.72,Desconocido,0.06,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,Microsoft.SharePoint.exe,1988,27.25,WAYNA\alexa,0.23,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,dwm.exe,2016,146.89,Desconocido,1.22,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,pet.exe,2080,7.53,WAYNA\alexa,0.06,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,MemCompression,2092,48.05,Desconocido,0.4,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2112,9.63,Desconocido,0.08,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2136,7.83,Desconocido,0.07,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,msedgewebview2.exe,2180,524.78,WAYNA\alexa,4.37,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2232,6.02,Desconocido,0.05,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2244,7.73,Desconocido,0.06,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2280,9.52,Desconocido,0.08,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2360,16.6,Desconocido,0.14,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,igfxCUIServiceN.exe,2388,10.94,Desconocido,0.09,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2504,10.46,Desconocido,0.09,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,FusionService.exe,2576,72.91,Desconocido,0.61,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2616,38.03,WAYNA\alexa,0.32,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2752,6.25,Desconocido,0.05,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,keyboxd.exe,2808,10.64,WAYNA\alexa,0.09,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2828,14.71,Desconocido,0.12,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2844,9.82,Desconocido,0.08,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2868,10.49,Desconocido,0.09,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2892,8.89,Desconocido,0.07,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,2900,22.2,Desconocido,0.18,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,uihost.exe,2980,24.77,WAYNA\alexa,0.21,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,3012,12.62,Desconocido,0.11,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,3020,5.7,Desconocido,0.05,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,DDVCollectorSvcApi.exe,3100,9.47,Desconocido,0.08,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,3252,10.29,Desconocido,0.09,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,3276,19.05,Desconocido,0.16,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,3368,9.58,Desconocido,0.08,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,3472,15.31,Desconocido,0.13,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,sihost.exe,3492,36.07,WAYNA\alexa,0.3,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,svchost.exe,3508,6.92,Desconocido,0.06,Desconocido,Normal,Desconocida
2025-06-09 07:23:53,Dell.TechHub.Instrumentation.UserProcess.exe,3536,108.38,Desconocido,0.9,Desconocido,Normal,Desconocida
